ip,source,category
192.0.2.164,alienvault,brute_force
192.0.2.165,spamhaus,brute_force
192.0.2.166,abuse_ch,scanner
192.0.2.167,alienvault,phishing
192.0.2.168,emerging_threats,phishing
192.0.2.169,spamhaus,scanner
192.0.2.170,spamhaus,phishing
192.0.2.171,emerging_threats,brute_force
192.0.2.172,alienvault,spam
192.0.2.173,emerging_threats,scanner
192.0.2.174,spamhaus,malware
192.0.2.175,abuse_ch,spam
192.0.2.176,emerging_threats,malware
192.0.2.177,spamhaus,spam
192.0.2.178,alienvault,spam
192.0.2.179,alienvault,spam
192.0.2.180,spamhaus,spam
192.0.2.181,spamhaus,phishing
192.0.2.182,emerging_threats,spam
192.0.2.183,abuse_ch,c2_server
192.0.2.184,abuse_ch,c2_server
192.0.2.185,emerging_threats,brute_force
192.0.2.186,emerging_threats,brute_force
192.0.2.187,emerging_threats,phishing
192.0.2.188,abuse_ch,phishing
192.0.2.189,abuse_ch,malware
192.0.2.190,alienvault,phishing
192.0.2.191,abuse_ch,malware
192.0.2.192,spamhaus,phishing
192.0.2.193,emerging_threats,phishing
192.0.2.194,emerging_threats,spam
192.0.2.195,spamhaus,malware
192.0.2.196,spamhaus,malware
192.0.2.197,emerging_threats,c2_server
192.0.2.198,spamhaus,malware
192.0.2.199,abuse_ch,spam
192.0.2.200,alienvault,scanner
192.0.2.201,emerging_threats,c2_server
192.0.2.202,abuse_ch,scanner
192.0.2.203,alienvault,spam
192.0.2.204,abuse_ch,scanner
192.0.2.205,abuse_ch,brute_force
192.0.2.206,alienvault,brute_force
192.0.2.207,abuse_ch,brute_force
192.0.2.208,abuse_ch,c2_server
192.0.2.209,emerging_threats,brute_force
192.0.2.210,emerging_threats,c2_server
192.0.2.211,spamhaus,phishing
192.0.2.212,alienvault,phishing
192.0.2.213,alienvault,phishing
192.0.2.214,spamhaus,brute_force
192.0.2.215,spamhaus,scanner
192.0.2.216,emerging_threats,c2_server
192.0.2.217,abuse_ch,phishing
192.0.2.218,abuse_ch,scanner
192.0.2.219,emerging_threats,spam
192.0.2.220,emerging_threats,brute_force
192.0.2.221,abuse_ch,spam
192.0.2.222,emerging_threats,phishing
192.0.2.223,emerging_threats,spam
192.0.2.224,abuse_ch,scanner
192.0.2.225,spamhaus,scanner
192.0.2.226,spamhaus,scanner
192.0.2.227,spamhaus,phishing
192.0.2.228,spamhaus,phishing
192.0.2.229,spamhaus,phishing
192.0.2.230,abuse_ch,c2_server
192.0.2.231,alienvault,phishing
192.0.2.232,abuse_ch,spam
192.0.2.233,spamhaus,spam
192.0.2.234,abuse_ch,brute_force
192.0.2.235,alienvault,c2_server
192.0.2.236,emerging_threats,malware
192.0.2.237,alienvault,phishing
192.0.2.238,emerging_threats,scanner
192.0.2.239,spamhaus,c2_server
192.0.2.240,alienvault,scanner
192.0.2.241,emerging_threats,malware
192.0.2.242,alienvault,phishing
192.0.2.243,abuse_ch,brute_force
192.0.2.244,abuse_ch,malware
192.0.2.245,spamhaus,spam
192.0.2.246,alienvault,scanner
192.0.2.247,emerging_threats,phishing
192.0.2.248,abuse_ch,c2_server
192.0.2.249,abuse_ch,phishing
192.0.2.250,emerging_threats,phishing
192.0.2.251,abuse_ch,scanner
192.0.2.252,emerging_threats,spam
192.0.2.253,emerging_threats,spam
192.0.2.254,abuse_ch,malware
198.51.100.1,emerging_threats,brute_force
198.51.100.2,emerging_threats,spam
198.51.100.3,abuse_ch,c2_server
198.51.100.4,spamhaus,malware
198.51.100.5,alienvault,c2_server
198.51.100.6,abuse_ch,phishing
198.51.100.7,alienvault,spam
198.51.100.8,spamhaus,spam
198.51.100.9,spamhaus,brute_force
198.51.100.10,alienvault,c2_server
198.51.100.11,emerging_threats,scanner
198.51.100.12,spamhaus,phishing
198.51.100.13,abuse_ch,spam
198.51.100.14,emerging_threats,malware
198.51.100.15,abuse_ch,phishing
198.51.100.16,abuse_ch,malware
198.51.100.17,alienvault,phishing
198.51.100.18,emerging_threats,spam
198.51.100.19,spamhaus,scanner
198.51.100.20,abuse_ch,phishing
198.51.100.21,emerging_threats,spam
198.51.100.22,emerging_threats,brute_force
198.51.100.23,spamhaus,brute_force
198.51.100.24,spamhaus,scanner
198.51.100.25,emerging_threats,phishing
198.51.100.26,alienvault,phishing
198.51.100.27,alienvault,phishing
198.51.100.28,emerging_threats,c2_server
198.51.100.29,abuse_ch,brute_force
198.51.100.30,emerging_threats,spam
198.51.100.31,alienvault,c2_server
198.51.100.32,alienvault,c2_server
198.51.100.33,emerging_threats,malware
198.51.100.35,emerging_threats,scanner
198.51.100.36,emerging_threats,scanner
198.51.100.37,abuse_ch,malware
198.51.100.38,alienvault,spam
198.51.100.39,spamhaus,spam
198.51.100.40,abuse_ch,brute_force
198.51.100.41,spamhaus,spam
198.51.100.42,emerging_threats,spam
198.51.100.43,spamhaus,brute_force
198.51.100.44,spamhaus,malware
198.51.100.45,emerging_threats,phishing
198.51.100.46,abuse_ch,spam
198.51.100.47,abuse_ch,c2_server
198.51.100.48,abuse_ch,c2_server
198.51.100.49,alienvault,scanner
198.51.100.50,alienvault,brute_force
198.51.100.51,emerging_threats,brute_force
198.51.100.52,spamhaus,phishing
198.51.100.53,spamhaus,malware
198.51.100.54,spamhaus,spam
198.51.100.55,emerging_threats,c2_server
198.51.100.56,emerging_threats,spam
198.51.100.57,spamhaus,phishing
198.51.100.58,spamhaus,c2_server
198.51.100.59,alienvault,scanner
198.51.100.60,abuse_ch,phishing
198.51.100.61,spamhaus,phishing
198.51.100.62,abuse_ch,spam
198.51.100.63,abuse_ch,scanner
198.51.100.64,alienvault,c2_server
198.51.100.65,spamhaus,brute_force
198.51.100.66,abuse_ch,scanner
198.51.100.67,alienvault,malware
198.51.100.68,alienvault,phishing
198.51.100.69,alienvault,brute_force
198.51.100.70,spamhaus,scanner
198.51.100.71,emerging_threats,phishing
198.51.100.72,abuse_ch,spam
198.51.100.73,alienvault,c2_server
198.51.100.74,alienvault,malware
198.51.100.75,alienvault,brute_force
198.51.100.76,spamhaus,brute_force
198.51.100.77,spamhaus,brute_force
198.51.100.78,emerging_threats,c2_server
198.51.100.79,emerging_threats,phishing
198.51.100.80,abuse_ch,brute_force
198.51.100.81,abuse_ch,brute_force
198.51.100.82,spamhaus,c2_server
198.51.100.83,spamhaus,malware
198.51.100.84,abuse_ch,spam
198.51.100.85,spamhaus,phishing
198.51.100.86,spamhaus,c2_server
198.51.100.87,spamhaus,brute_force
198.51.100.88,abuse_ch,phishing
198.51.100.89,emerging_threats,phishing
198.51.100.90,alienvault,malware
198.51.100.91,emerging_threats,c2_server
198.51.100.92,emerging_threats,phishing
198.51.100.93,alienvault,c2_server
198.51.100.94,emerging_threats,spam
198.51.100.95,emerging_threats,malware
198.51.100.96,spamhaus,spam
198.51.100.97,spamhaus,phishing
198.51.100.98,abuse_ch,spam
198.51.100.99,spamhaus,spam
198.51.100.100,alienvault,phishing
198.51.100.101,spamhaus,malware
198.51.100.102,abuse_ch,spam
198.51.100.103,alienvault,spam
198.51.100.104,abuse_ch,malware
198.51.100.105,abuse_ch,brute_force
198.51.100.106,alienvault,spam
198.51.100.107,alienvault,brute_force
198.51.100.108,alienvault,malware
198.51.100.109,abuse_ch,c2_server
198.51.100.110,spamhaus,phishing
198.51.100.111,alienvault,malware
198.51.100.112,emerging_threats,brute_force
198.51.100.113,spamhaus,c2_server
198.51.100.114,alienvault,malware
198.51.100.115,abuse_ch,brute_force
198.51.100.116,emerging_threats,phishing
198.51.100.117,emerging_threats,brute_force
198.51.100.118,emerging_threats,spam
198.51.100.119,alienvault,phishing
198.51.100.120,alienvault,phishing
198.51.100.121,alienvault,scanner
198.51.100.122,spamhaus,scanner
198.51.100.123,emerging_threats,c2_server
198.51.100.124,alienvault,phishing
198.51.100.125,emerging_threats,malware
198.51.100.126,abuse_ch,c2_server
198.51.100.127,spamhaus,malware
198.51.100.128,alienvault,malware
198.51.100.129,spamhaus,spam
198.51.100.130,alienvault,scanner
198.51.100.131,abuse_ch,malware
198.51.100.132,alienvault,malware
198.51.100.133,emerging_threats,phishing
198.51.100.134,emerging_threats,spam
198.51.100.135,alienvault,brute_force
198.51.100.136,abuse_ch,c2_server
198.51.100.137,abuse_ch,c2_server
198.51.100.138,alienvault,scanner
198.51.100.139,emerging_threats,scanner
198.51.100.140,abuse_ch,phishing
198.51.100.141,alienvault,phishing
198.51.100.142,emerging_threats,scanner
198.51.100.143,abuse_ch,scanner
198.51.100.144,emerging_threats,brute_force
198.51.100.145,abuse_ch,malware
198.51.100.146,abuse_ch,phishing
198.51.100.147,spamhaus,brute_force
198.51.100.148,spamhaus,phishing
198.51.100.149,abuse_ch,malware
198.51.100.150,alienvault,spam
198.51.100.151,spamhaus,scanner
198.51.100.152,abuse_ch,spam
198.51.100.153,alienvault,phishing
198.51.100.154,alienvault,brute_force
198.51.100.155,abuse_ch,phishing
198.51.100.156,abuse_ch,c2_server
198.51.100.157,spamhaus,brute_force
198.51.100.158,spamhaus,spam
198.51.100.159,emerging_threats,brute_force
198.51.100.160,alienvault,malware
198.51.100.161,emerging_threats,brute_force
198.51.100.162,alienvault,malware
198.51.100.163,abuse_ch,phishing
198.51.100.164,emerging_threats,scanner
198.51.100.165,abuse_ch,c2_server
198.51.100.166,emerging_threats,scanner
198.51.100.167,abuse_ch,phishing
198.51.100.168,abuse_ch,malware
198.51.100.169,spamhaus,spam
198.51.100.170,abuse_ch,spam
198.51.100.171,alienvault,brute_force
198.51.100.172,emerging_threats,brute_force
198.51.100.173,abuse_ch,phishing
198.51.100.174,abuse_ch,phishing
198.51.100.175,spamhaus,phishing
198.51.100.176,spamhaus,spam
198.51.100.177,alienvault,c2_server
198.51.100.178,alienvault,brute_force
198.51.100.179,emerging_threats,scanner
198.51.100.180,abuse_ch,scanner
198.51.100.181,spamhaus,c2_server
198.51.100.182,alienvault,spam
198.51.100.183,alienvault,brute_force
198.51.100.184,alienvault,scanner
198.51.100.185,alienvault,scanner
198.51.100.186,emerging_threats,scanner
198.51.100.187,abuse_ch,phishing
198.51.100.188,emerging_threats,malware
198.51.100.189,emerging_threats,malware
198.51.100.190,alienvault,c2_server
198.51.100.191,spamhaus,malware
198.51.100.192,abuse_ch,spam
198.51.100.193,alienvault,phishing
198.51.100.194,alienvault,c2_server
198.51.100.195,spamhaus,malware
198.51.100.196,spamhaus,scanner
198.51.100.197,emerging_threats,phishing
198.51.100.198,alienvault,brute_force
198.51.100.199,spamhaus,c2_server
198.51.100.200,abuse_ch,c2_server
198.51.100.201,abuse_ch,scanner
198.51.100.202,alienvault,c2_server
198.51.100.203,abuse_ch,spam
198.51.100.204,emerging_threats,scanner
198.51.100.205,emerging_threats,spam
198.51.100.206,abuse_ch,phishing
198.51.100.207,abuse_ch,phishing
198.51.100.208,emerging_threats,scanner
198.51.100.209,abuse_ch,spam
198.51.100.210,alienvault,malware
198.51.100.211,alienvault,c2_server
198.51.100.212,spamhaus,scanner
198.51.100.213,alienvault,phishing
198.51.100.214,emerging_threats,spam
198.51.100.215,alienvault,scanner
198.51.100.216,abuse_ch,malware
198.51.100.217,spamhaus,malware
198.51.100.218,abuse_ch,scanner
198.51.100.219,alienvault,c2_server
198.51.100.220,alienvault,malware
198.51.100.221,spamhaus,phishing
198.51.100.222,emerging_threats,phishing
198.51.100.223,emerging_threats,phishing
198.51.100.224,abuse_ch,brute_force
198.51.100.225,emerging_threats,scanner
198.51.100.226,emerging_threats,phishing
198.51.100.227,emerging_threats,malware
198.51.100.228,emerging_threats,c2_server
198.51.100.229,emerging_threats,scanner
198.51.100.230,spamhaus,brute_force
198.51.100.231,emerging_threats,spam
198.51.100.232,spamhaus,malware
198.51.100.233,abuse_ch,spam
198.51.100.234,emerging_threats,c2_server
198.51.100.235,spamhaus,scanner
198.51.100.236,alienvault,phishing
198.51.100.237,alienvault,spam
198.51.100.238,abuse_ch,malware
198.51.100.239,alienvault,scanner
198.51.100.240,emerging_threats,c2_server
198.51.100.241,spamhaus,c2_server
198.51.100.242,spamhaus,spam
198.51.100.243,spamhaus,spam
198.51.100.244,emerging_threats,c2_server
198.51.100.245,spamhaus,phishing
198.51.100.246,abuse_ch,brute_force
198.51.100.247,spamhaus,c2_server
198.51.100.248,emerging_threats,spam
198.51.100.249,abuse_ch,phishing
198.51.100.250,alienvault,brute_force
198.51.100.251,abuse_ch,scanner
198.51.100.252,abuse_ch,scanner
198.51.100.253,alienvault,c2_server
198.51.100.254,alienvault,c2_server
203.0.113.1,spamhaus,phishing
203.0.113.2,alienvault,malware
203.0.113.3,abuse_ch,scanner
203.0.113.4,emerging_threats,spam
203.0.113.5,abuse_ch,malware
203.0.113.6,alienvault,phishing
203.0.113.7,alienvault,spam
203.0.113.8,abuse_ch,brute_force
203.0.113.9,emerging_threats,spam
203.0.113.10,abuse_ch,spam
203.0.113.11,abuse_ch,scanner
203.0.113.12,abuse_ch,malware
203.0.113.13,spamhaus,brute_force
203.0.113.14,emerging_threats,brute_force
203.0.113.15,emerging_threats,scanner
203.0.113.16,emerging_threats,scanner
203.0.113.17,abuse_ch,malware
203.0.113.18,spamhaus,brute_force
203.0.113.19,spamhaus,brute_force
203.0.113.20,spamhaus,phishing
203.0.113.21,alienvault,brute_force
203.0.113.22,alienvault,phishing
203.0.113.23,spamhaus,malware
203.0.113.24,spamhaus,spam
203.0.113.25,spamhaus,malware
203.0.113.26,alienvault,c2_server
203.0.113.27,abuse_ch,c2_server
203.0.113.28,spamhaus,phishing
203.0.113.29,abuse_ch,brute_force
203.0.113.30,abuse_ch,malware
203.0.113.31,spamhaus,spam
203.0.113.32,emerging_threats,spam
203.0.113.33,spamhaus,malware
203.0.113.34,abuse_ch,scanner
203.0.113.35,abuse_ch,brute_force
203.0.113.36,abuse_ch,scanner
203.0.113.37,spamhaus,spam
203.0.113.38,abuse_ch,phishing
203.0.113.39,emerging_threats,scanner
203.0.113.40,alienvault,scanner
203.0.113.41,spamhaus,spam
203.0.113.42,emerging_threats,phishing
203.0.113.43,emerging_threats,scanner
203.0.113.44,abuse_ch,c2_server
203.0.113.45,spamhaus,phishing
203.0.113.46,spamhaus,spam
203.0.113.47,alienvault,c2_server
203.0.113.48,emerging_threats,c2_server
203.0.113.49,alienvault,malware
203.0.113.50,abuse_ch,brute_force
203.0.113.51,emerging_threats,phishing
203.0.113.52,spamhaus,scanner
203.0.113.53,emerging_threats,phishing
203.0.113.54,abuse_ch,malware
203.0.113.55,emerging_threats,spam
203.0.113.56,alienvault,scanner
203.0.113.57,abuse_ch,brute_force
203.0.113.58,alienvault,phishing
203.0.113.59,alienvault,brute_force
203.0.113.60,emerging_threats,phishing
203.0.113.61,emerging_threats,brute_force
203.0.113.62,emerging_threats,scanner
203.0.113.63,abuse_ch,scanner
203.0.113.64,alienvault,phishing
203.0.113.65,alienvault,malware
203.0.113.66,emerging_threats,malware
203.0.113.67,spamhaus,c2_server
203.0.113.68,alienvault,brute_force
203.0.113.69,spamhaus,c2_server
203.0.113.70,alienvault,spam
203.0.113.71,abuse_ch,scanner
203.0.113.72,emerging_threats,brute_force
203.0.113.73,abuse_ch,spam
203.0.113.74,alienvault,spam
203.0.113.75,emerging_threats,scanner
203.0.113.76,spamhaus,malware
203.0.113.77,spamhaus,spam
203.0.113.78,emerging_threats,spam
203.0.113.79,abuse_ch,c2_server
203.0.113.80,spamhaus,c2_server
203.0.113.81,emerging_threats,malware
203.0.113.82,spamhaus,brute_force
203.0.113.83,spamhaus,brute_force
203.0.113.84,abuse_ch,malware
203.0.113.85,abuse_ch,malware
203.0.113.86,alienvault,malware
203.0.113.87,spamhaus,brute_force
203.0.113.88,alienvault,phishing
203.0.113.89,alienvault,brute_force
203.0.113.90,abuse_ch,spam
203.0.113.91,spamhaus,spam
203.0.113.92,spamhaus,scanner
203.0.113.93,alienvault,scanner
203.0.113.94,abuse_ch,malware
203.0.113.95,emerging_threats,scanner
203.0.113.96,emerging_threats,brute_force
203.0.113.97,emerging_threats,c2_server
203.0.113.98,spamhaus,c2_server
203.0.113.99,alienvault,malware
203.0.113.100,emerging_threats,c2_server
203.0.113.101,emerging_threats,spam
203.0.113.102,emerging_threats,c2_server
203.0.113.103,alienvault,brute_force
203.0.113.104,alienvault,brute_force
203.0.113.105,spamhaus,spam
203.0.113.106,alienvault,scanner
203.0.113.107,alienvault,phishing
203.0.113.108,abuse_ch,phishing
203.0.113.109,alienvault,brute_force
203.0.113.110,spamhaus,brute_force
203.0.113.111,emerging_threats,phishing
203.0.113.112,alienvault,c2_server
203.0.113.113,alienvault,malware
203.0.113.114,spamhaus,phishing
203.0.113.115,emerging_threats,phishing
203.0.113.116,abuse_ch,brute_force
203.0.113.117,alienvault,scanner
203.0.113.118,alienvault,scanner
203.0.113.119,spamhaus,brute_force
203.0.113.120,alienvault,c2_server
203.0.113.121,emerging_threats,spam
203.0.113.122,abuse_ch,c2_server
203.0.113.123,alienvault,malware
203.0.113.124,abuse_ch,spam
203.0.113.125,spamhaus,scanner
203.0.113.126,abuse_ch,spam
203.0.113.127,abuse_ch,malware
203.0.113.128,alienvault,c2_server
203.0.113.129,abuse_ch,c2_server
203.0.113.130,spamhaus,phishing
203.0.113.131,abuse_ch,spam
203.0.113.132,emerging_threats,c2_server
203.0.113.133,spamhaus,scanner
203.0.113.134,spamhaus,scanner
203.0.113.135,abuse_ch,spam
203.0.113.136,abuse_ch,c2_server
203.0.113.137,spamhaus,malware
203.0.113.138,spamhaus,brute_force
203.0.113.139,alienvault,c2_server
203.0.113.140,emerging_threats,spam
203.0.113.141,alienvault,malware
203.0.113.142,spamhaus,brute_force
203.0.113.143,emerging_threats,spam
203.0.113.144,spamhaus,scanner
203.0.113.145,alienvault,scanner
203.0.113.146,spamhaus,c2_server
203.0.113.147,emerging_threats,brute_force
203.0.113.148,abuse_ch,malware
203.0.113.149,spamhaus,malware
203.0.113.150,alienvault,scanner
203.0.113.151,spamhaus,spam
203.0.113.152,emerging_threats,c2_server
203.0.113.153,abuse_ch,spam
203.0.113.154,spamhaus,phishing
203.0.113.155,abuse_ch,malware
203.0.113.156,spamhaus,scanner
203.0.113.157,abuse_ch,malware
203.0.113.158,spamhaus,phishing
203.0.113.159,alienvault,scanner
203.0.113.160,abuse_ch,phishing
203.0.113.161,alienvault,phishing
203.0.113.162,spamhaus,c2_server
203.0.113.163,emerging_threats,spam
203.0.113.164,emerging_threats,phishing
203.0.113.165,abuse_ch,c2_server
203.0.113.166,abuse_ch,scanner
203.0.113.167,abuse_ch,c2_server
203.0.113.168,spamhaus,phishing
203.0.113.169,alienvault,scanner
203.0.113.170,alienvault,c2_server
203.0.113.171,alienvault,phishing
203.0.113.172,alienvault,c2_server
203.0.113.173,emerging_threats,phishing
203.0.113.174,emerging_threats,scanner
203.0.113.175,emerging_threats,brute_force
203.0.113.176,spamhaus,scanner
203.0.113.177,abuse_ch,spam
203.0.113.178,emerging_threats,scanner
203.0.113.179,emerging_threats,scanner
203.0.113.180,emerging_threats,brute_force
203.0.113.181,abuse_ch,phishing
203.0.113.182,spamhaus,spam
203.0.113.183,abuse_ch,scanner
203.0.113.184,abuse_ch,phishing
203.0.113.185,abuse_ch,malware
203.0.113.186,emerging_threats,brute_force
203.0.113.187,spamhaus,scanner
